symbol,value,artifact,location,session,note,superseded
b[ES/GLOBEX/B0/1day],-0.4426723058533993,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=b",S10,,False
c[ES/GLOBEX/B0/1day],1.033909620188399,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=c",S10,,False
A[ES/GLOBEX/B0/1day],2.0584522490557693,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=A",S10,,False
rmse[ES/GLOBEX/B0/1day],0.0498940011671775,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=rmse",S10,,False
b_lo[ES/GLOBEX/B0/1day],-0.5508020721772262,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=b_lo",S10,,False
b_hi[ES/GLOBEX/B0/1day],-0.3397550127314422,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=b_hi",S10,,False
b_se[ES/GLOBEX/B0/1day],0.0536951035324225,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=b_se",S10,,False
c_lo[ES/GLOBEX/B0/1day],0.9310585411291388,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=c_lo",S10,,False
c_hi[ES/GLOBEX/B0/1day],1.116288574536073,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=c_hi",S10,,False
b_ref[ES/GLOBEX/B0/1day],-1.13767466962387,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=b_trigamma_ref",S10,,False
cond[ES/GLOBEX/B0/1day],24.95950357749797,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=cond",S10,,False
n_grid[ES/GLOBEX/B0/1day],10.0,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=n_grid",S10,,False
ref_inside_95[ES/GLOBEX/B0/1day],False,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B0/1day, col=ref_inside_95",S10,,False
b[ES/GLOBEX/B1/1day],-0.4426723058533993,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=b",S10,,False
c[ES/GLOBEX/B1/1day],1.033909620188399,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=c",S10,,False
A[ES/GLOBEX/B1/1day],2.0584522490557693,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=A",S10,,False
rmse[ES/GLOBEX/B1/1day],0.0498940011671775,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=rmse",S10,,False
b_lo[ES/GLOBEX/B1/1day],-0.5460931612437697,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=b_lo",S10,,False
b_hi[ES/GLOBEX/B1/1day],-0.3412275284319387,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=b_hi",S10,,False
b_se[ES/GLOBEX/B1/1day],0.0534529047147064,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=b_se",S10,,False
c_lo[ES/GLOBEX/B1/1day],0.9338853599795304,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=c_lo",S10,,False
c_hi[ES/GLOBEX/B1/1day],1.119937727143011,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=c_hi",S10,,False
b_ref[ES/GLOBEX/B1/1day],-1.13767466962387,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=b_trigamma_ref",S10,,False
cond[ES/GLOBEX/B1/1day],24.95950357749797,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=cond",S10,,False
n_grid[ES/GLOBEX/B1/1day],10.0,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=n_grid",S10,,False
ref_inside_95[ES/GLOBEX/B1/1day],False,sessions/s10-exponent-audit/results/phase1_bootstrap.csv,"cell=ES/GLOBEX/B1/1day, col=ref_inside_95",S10,,False
